conCallAns,execAnswer,execName,,AnsNo ,Avoidance,Repetition,Unprepared
may31_TAP_Q4_16_0,"The thing I would add to a, market is that we haven't seen impact on our premium brands effect we actually increase share meaningfully in the fourth quarter and December was actually one of our best year months in a very long time. In economy strategy went to back into the year. In fact we grew segment share with Miller Lite and Coors Light for 20 consecutive months. I haven't seen that impact that Stephen refers to and is certainly not a strategy. ",Tracey Joubert,,171,,,
ay29const_Q4_16_29,"So all of the action is in our brands and to some degree craft of course, which is - we're playing in that as well. So I don't think that there's anything particularly different going on with our distributor network. We're not insisting upon different terms than we have in the past in any material sense.",Rob Sands,,172,,,
_the_Pres_09_16_89,"The actual growth of that portfolio of products is about 30% a year. So that is a turnover of a couple hundred million, growing at 30% a year, so it's a big impact for us. And it's pretty balanced.",John Kennedy,,173,,,
may31_TAP_Q3_16_4,"Best way to deal with the question, appreciate the question we will get a response and take you through that and this afternoon's call. ",Gavin Hattersley,,174,,,
ay29const_Q1_16_37,"We clearly believe that we'll continue to see the can momentum build. And we also know, however, that we won't end up with a can mix like the domestic players. But we think we can someday line up maybe more in line with some of the other import players in terms of their can mix.",Rob Sands,,175,,,
ay29const_Q1_16_11,"Yeah. We don't expect any material cost savings from the restructuring really because that was more of a streamlining in some areas and a reallocation in other areas. So really what we've done here is we've taken a look at the business. We've said okay what areas could use greater efficiencies, streamlining, areas that aren't -- I'll say commercially oriented, aren't directly related to revenue and that we thought could function better and if they were streamlined and made more efficient.",Rob Sands,,176,,,
_BrownF.B_Q2_16_22,"Yes, it's early now, but it looks broad-based. Poland is a top 10 market for us, but it's rare that it would drive the entirety of Brown-Forman. Oftentimes the numbers--I mean, you can get that from sometimes the United States because of the size of it within Brown-Forman, and periodically you'll get the U.K. or France and Germany, particularly when they combine. But right now, and again it's early - we've still got a lot to see, but we're encouraged by what we've seen, broad-based out of November.",Paul Varga,,177,,,
_BrownF.B_Q2_17_19,"Yes. I would agree, we hear them, but it would just be too early for us to see anything that would make that. I mean so in essence, it makes it more a hypothesis than the reality. I think some of the more. I would say systemic things that relate to particularly our business, which is not the food part, of course as much as it is the drink part of the restaurant business. I think I haven't heard anything that makes me change that, which is this aspect of going back now several, several years where consumer started to subtly shift their consumption occasions toward the off-premise more. And there seems to be more millennial thing, the ability particularly to use social media to gather people effectively starting your own small bar on an evening if you want, because it's so efficient to do so. And the impact that, that then has on suppliers and brands as you try to navigate the marketplace where the off-premise is growing faster than the on-premise. And so what are those dynamics. I actually think it will be really interesting to see how particularly one of the more recent developments that came out of this year's election cycle, which was continued momentum on the legalization of marijuana, that being an interesting development, of course, with something we have been monitoring. But what - just this will be again an anecdotal thing, the fact that, that tends to be more of an off-premise consumption occasion, actually and to the extent that there is cross-category usage between marijuana and beverage alcohol, what does that do in terms of its impact on a brand or a suppliers approach to the business. I mean, it - I think that development will if anything add even greater momentum to the off-premise sales versus the on-premise sales. So, these are all things that are kind of speculative, quite honestly, their hypotheses that we are observing after. We are monitoring them. I do think our organization has done a nice job on trying to cater to the off-premise occasion a bit more, whether it's through special packs, item such as the development of flavored whiskey category, I think hits a sweet spot as it relates to convenience in terms of consumption. I think as it relates to price and volume trade-offs, I think certainly the off-premise environment is a more price-sensitive channel than the on-premise one. And so there is a number of attributes of the channels that you have to pay attention to as you see subtle. These have not been wholesale and dramatic shifts. They are much more subtle, but if you study them over maybe 3 or 5 or 7 years, they become more important than they do in any one quarter. So that's about all we have observed as it relates to the questions you were asking. We will be paying close attention to though it of course as the months unfold and the realities of what's prognosticated actually come into play.",Paul Varga,,178,,,
_may29abi_Q4_16_9,"Another thing is general market assets, so for example, sponsorships that we had lost some years ago to some of our competitors given inflation, so those costs rose a lot and some point we thought those are not worth it. They got those things and are in a crisis environment a lot of those properties came back to the market, shopping for buyers and sponsors at a much more reasonable price and we could get much better conditions for longer periods.",Carlos Brito,,179,,,
y31_HEINY_Q4_16_24,"It looks like the majority of your local is based in the Europe at the moment, you've got Mac in Indonesia, but how do you think about the prospects for low non-alcohol beer in other EM, particularly Africa or in Latin?",Jean-Francois van Boxmeer,,180,,,
may29_DEO_q2_15_16,"It'd certain be less, but, of course, the overall impact on organic, because of USL, that will have a negative mix effect because of the overall margins there. But the drag that we've been getting from what's been happening in Southeast Asia and Latin America, of course, that won't repeat and that will be helpful in the overall mix.",Deirdre Mahlan,,181,,,
_BrownF.B_Q2_16_0,"Yes, I'll take the first. Your question was really around what our full-year outlook, and really the biggest change just happened from what we gave you back in June and what we've reconfirmed in August and what we're saying today, is FX. So excluding FX, I think as we confirmed today, we're on track for the top line 6% to 7% growth and the bottom line 8% to 10% growth. So the only change has been FX, and FX is [indiscernible] fall within the range that we gave you.",Jane Morreau,,182,,,
_may29abi_Q4_16_60,"2016 was a very tough year in terms of everything we just explained about Brazil and because the price increases and all that, because of the pressure on taxes, commodities, currencies that gave us some disadvantage in the marketplace, but we're now on a '17 that according to what we hear could be a better year in terms of GDP, in terms of consumer confidence, in terms of inflation and employment, we intend to go back to the 67%, 69% range.",Carlos Brito,,183,,,
_BrownF.B_Q2_16_23,"The other thing I'll mention is I think the travel retail piece - I mean, we still have some determinations to make inside the company as it relates to geographic expansion on Jack Daniel's Tennessee Fire, so we'll be getting to those here in the next few weeks or so. But the other thing is as the calendar year turns, once we enter into 2016, it marks actually the year where the Jack Daniel's distillery will begin to celebrate its 150",Paul Varga,,184,,,
_Pernod_Q1_1516_55,"I think looking at the evolution of the inventories going forward, it will also obviously a lot depend on the evolution of the underlying trends. So we'll make sure that the inventories at the end of the year will be consistent in terms of number of days based on the underlying trends we'll see at that time. So I think the main drivers there are the underlying trends and the inventories are a consequence of it.",Gilles Bogaert,,185,,,
_BrownF.B_Q4_16_36,"The special packaging of course will be more devoted to the retail environment where that's offered. But there's a couple of offerings, there's one that's a little bit above the price of Jack Daniel's Black Label on an everyday and then there's one that's truly more limited that's $100 a bottle. So these are unusual events for us because you don't come along on that much, and so when you treat them like a milestone, and I actually expect - when I sit and look at it, can you get another point of growth out of the Jack Daniel's Black Label franchise over a year because of an event such as this, I sure think so and I'd like to hope so. ",Paul Varga,,186,,,
_BrownF.B_Q1_16_25,"Yes, I think, you'll find us being fairly focused relative to our competition on particular trademarks and probably most direct response to the interest that's out there in Mezcal is that our response would be to focus ever more on Herradura. I mean, I think that, we have so much work still to do to build the awareness, distribution, velocity, telling the story of Herradura remains very important to us. We think it can be a very significant piece of business for us in due course. It's actually showing nice traction of late and we think that interest in Mezcal might create interest as well on the Tequila category because of the flavor profile. But to your point, I think it would be short-sighted on our part not to pay attention to emerging categories and see how they might impose competitive tension or distraction for our brands in the marketplace and these have come from time-to-time whether they are Mezcal or the Cachacas or the Japanese Whiskies are showing some - in this country some interest. So I think it is worth always having little bit in your peripheral vision these categories. So you can see what you can learn from them. From what I can see so far from Mezcal it makes me want to work even harder on Herradura. ",Paul Varga,,187,,,
may31_TAP_Q2_16_41,"Encouragingly, when you look at Coors' trademark in totality, in Canada, and adding Banquet, which Stewart mentioned, is up over 20% again in the month. With the Coors trademarks in generally good health, Coors Light, if we can get that moving in the right direction will be in a very strong position.",Mark Hunter,,188,,,
_BrownF.B_Q3_17_30,"Part of what we did in December with our investor conference, we looked out, I think, to 2025, for the most part, the ambitions we'll have there, we will have pretty much, by the time you get out to 2019, 2020, 2021, you're going to have to had that product in the barrel in the case of tequila in the ground with the agave plants. So I actually just always - and just a reminded to everybody who covers this industry, you have to make those forecasts in advance, and those plans, building the warehouses, putting the barreled inventory, become part of your, they have to sync up with the ambitions that you're expressing. So part of why I said that is that we continue to be pretty bullish about what we see for the opportunity for Jack Daniel's and American whiskey and our premium tequilas, some of these new products we've bought out to that time frame, despite the fact that you might have challenging circumstances around any 90 or 180 day period.",Paul Varga,,189,,,
ay29const_Q1_17_8,"Yes. So in the quarter, yeah, I don't have that number. We can get back to you with the specific number for the quarter.",David Klein,,190,,,
ay29const_Q3_16_46,"Well, I think so. I think you'll see trading up on wine is accelerating and I think that you'll continue to see it be extremely robust and I think that you'll continue to see us benefit from that trading up.",Rob Sands,,191,,,
_BrownF.B_Q4_16_13,"It's a little more outside the United States, if it gives you any indication. And we're in no hurry to go get as, I think Jack Daniel's Tennessee Honey, it took us the better part of four years plus to get to where - I'm going rough this number, we're something like in 80 countries where we're doing most of the business for Tennessee Honey today, and I don't anticipate us getting that fast this fiscal year even and the next two fiscal years on Jack Daniel's Tennessee Fire. We're fighting in a market at a time to see where there seems to be appeal. ",Paul Varga,,192,,,
ay29const_Q3_16_29,"Well, we obviously are giving guidance for our next fiscal year, but we don't see anything impeding our Ballast Point performance in general. There will continue to be expanded distribution and Ballast Point continues to increase its velocity per point of distribution even in its major markets where its already a big brand like its old market in San Diego.",Rob Sands,,193,,,
ay29const_Q3_16_11,"So obviously the multiple that we paid for it in relationship to the growth is actually a pretty reasonable purchase price, right. As you recall from my initial comments, the brand grew over 100% this year and 125% in IRI.",Rob Sands,,194,,,
may29_DEO_q2_15_37,"And clearly, the other factor we have helping us is we will be driving premiumization of that portfolio. So even in the results announced, the prestige and above categories at USL grew 17% and, as you know, we have catch-up to do there because the last five, seven years, USL didn't perform very well in that space, as one of our competitors did. And so we fully -- our strategy is very much to rebuilding our position in prestige and above and I'm encouraged by the momentum there. And that's margin accretive.",Ivan Menezes,,195,,,
_the_Pres_09_16_33,"I'll just give you a flavor of a couple of areas where we expect to deliver benefits this year. Firstly, zero-based budgeting. Our FY17 planning process has embraced zero-based budgeting to increase both efficiency and effectiveness of our indirect overhead spend. This is expected to deliver a 13% reduction in indirect during this year.",John Kennedy,,196,,,
may31_TAP_Q2_16_2,"Just to give you greater transparency in terms of what the CapEx would be excluding that, because it's obviously a very large CapEx project and we didn't want that number to be just offering all of the number, plus the proceeds of Vancouver are not in the free cash flow number.",Mauricio Restrepo,,197,,,
ay29const_Q3_17_25,"And the details of everything else and all of the puts and takes with everything else. I mean, we wouldn't just totally disrupt the supply chain over the long run if it's not necessary. But we do have quite a bit of flexibility in what we can do. So hence our optimism obviously relative to this whole matter and as also evidenced by our view on our own stock value and our buyback activity.",Rob Sands,,198,,,
y31_HEINY_Q4_14_10," No, I don't know where you are referring to that we said acquisitions is a priority. I think what we always say -- the beer industry is consolidating and is probably not fully at the end of the consolidation. And we have been and we will be an active player in that.",Rene Hooft Graafland,,199,,,
ay29const_Q2_16_16,"None whatsoever. We're actually pretty happy with the progress we made in the build out at Nava. In fact, we've now run beer down our premium glass line. So for the first time, we put labels and foil on bottles because our previous production have been Corona, primarily Corona Extra and Corona Light using the applied ceramic label bottles.",David Klein,,200,,,
ay29const_Q4_16_5,"It is an interesting business, it's got strong growth. We built an improved market share in Canada. So we think that it represents in many respects a great standalone opportunity. As far as its implications as to our strategy for the rest of the wine and spirits business, there really is no implication there.",Rob Sands,,201,,,
_the_Pres_09_16_8,"It is not only about adding more sales people, it is also about the improved capabilities and effectiveness of the sales force through rigorous training programs and extensive use of automation tools. These tools allow us to make quicker and better decisions based off daily reported measures on sales out, key distribution points and merchandising execution. We also see further opportunities in the future through better delivery of what we call the perfect store by sub-channel and a focus on distributor management. I believe we will derive more benefit here in FY17. We have the coverage but we can still improve our precision of knowing exactly what is the right format, visibility and price point by different outlet type.",John Kennedy,,202,,,
_the_Pres_09_16_62,"Then on Brexit, we're not complacent about Brexit, and do believe that, medium term, there are things that we need to be tuned into. Our current trading does not show any significant downturn, either in GB or on the continent. In terms of our confidence in this year's fiscal plan, it remains. But it is something that we're staying very close to.",John Kennedy,,203,,,
may31_TAP_Q1_16_30,"But, we've been on the journey to build a footprint over the course of the last five years, in particular, led by Coors Light and more recently by Staropramen and that will continue. I'm not going to comment specifically on any M&A opportunities. We never do, as you're aware. But we need to play to win in both the U.S., Canada, and in our European business. And we need to continue to build our global footprint, led through our global brands, that's principally been on an asset-light license and export model. It's likely that model will continue as we look to take Coors trademark, Staropramen trademark in the future of the Miller trademark into more markets, that's probably all I can say at this stage.",Mark R. Hunter,,204,,,
31_Pernod_Q2_17_5,"So today it's still difficult to say obviously we will adapt as we start seeing more with more clarity what's happening there, but again there are a lot of question marks what is really a highway and how we - basically how we're going to transport point of sale in outlets to outside of this parameter and what will be the reaction of local states.",Alexandre Ricard,,205,,,
31_Pernod_Q2_17_22,"Well on Brazil. Yes minus 10% it's partly negatively impacted by zero we had last year ahead of the tax increase. That's in the market is still down and we are down enormously 9% with the markets. For the next 12 months we would expect against the macroeconomic indicators that things could get better thing gross GDP gross is plan to come back in Brazil we've been able to increase our prices, so we're hopefully in the next 12 months will we start to see some improvement there and I think we've done a good job on our key strategic brands there Absolut, Chivas and Ballantine's. We getting shares in the last few years on the most of all brands, so our intention is to keep growing those brands there.",Alexandre Ricard,,206,,,
_BrownF.B_Q3_17_26,"That's something we - I mean, for the most part, don't particularly participate in, those sort of - I'd say, value level or slightly lower pricing than the premium level where we are. We have not tended to be in those. So for us, recoveries in emerging markets would be most directly related to any momentum built around premium whiskey. And in our case, it'll be led by Jack Daniel's.",Paul Varga,,207,,,
_BrownF.B_Q3_16_42,"But it still presents the same question, how do we, in year six and beyond, in the United States, continue to build the brand in a way that competes better versus what the competitive references are out there? So it's the - for our Brown-Forman employees who are listening, that's the question we're focused on. Yes, it really is. I mean, it's very true.",Paul Varga,,208,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,Uncertainty,,,
,,,,,,,
,,,,,,,
,,,,Avoidance,,,
,,,,,,,
,,,,,,,
,,,,Repetition,,,
,,,,,,,
,,,,,,,
,,,,Unprepared,,,
